Organization	Launched / Planned network	First launch	Form factor	Field	Funding	Technical and comments	Image
							
ExactEarth	57 / 67	2008	Nanosat, Hosted	AIS	Yes	Own satellites called AprizeSat or ExactView. Now also hosted payloads on 58 Iridium-NEXT satellites.	
Planet	324 / 150	2013	3U	Earth observation	$183 million	29 MP sensor taking images with 3.7 m ground resolution and swath of 24.6 km  x 16.4 km from 475 km altitude.	
Spire	85 / 150	2013	3U	Weather, AIS, ADS-B	$149.5 million	Measure change in GPS signal after passing atmosphere to calculate precise profiles for temperature, pressure, humidity.	
Planet (Terra Bella / Skybox)	13 / 24	2013	Smallsat	Earth observation	Yes, ?	Color and near-infrared imagery (90 cm resolution) in 120 kg package. First-ever commercial high-resolution video from a satellite.	
Astro Digital (Aquila)	5 / 25	2014	6U, 16U	Earth observation	$16.7+ million	6U has 22 m resolution in RGB and NIR. 16U has 2.5 m resolution in RGB, red edge, and NIR using one 70 MP sensor.	
BlackSky / Spaceflight	1 / 60	2016	Microsat	Earth observation	$203.5 million	Subsidiary of Spaceflight Industries. Color imagery at a resolution of 1 meter.	
GHGSat	1 / 20	2016	Microsat	Emissions monitoring	$20 million	Measure CO2 and methane in a FoV of ~12 km  x 12 km and resolution of <50 m. Sensors include 2D Wide-Angle Fabry-Perot imaging spectrometer with 15 kg satellite.	
Satellogic	3 / 25	2016	Microsat	Earth observation, Hyperspectral	$29 million	NuSat 37 kg satellites are capable of 1 m ground resolution imaging and video.	
Space View	5 / 16	2016	Satellite	Earth observation	?	First commercial 560 kg Chinese high-resolution Earth imaging satellites called SuperView (GaoJing) with resolution of 0.5 m per pixel.	
Xingyun	1 / 156	2017	Smallsat	Internet, IoT / M2M	?	Plans to be completed by 2025.	
Sky and Space Global	3 / 200	2017	8U	IoT / M2M	$11.5 million	Plans to use inter-satellite links. Satellites outsourced from GomSpace.	
GeoOptics	5 / ?	2017	6U	Weather	$5.15 million	Satellites outsourced from Tyvak.	
Zhuhai Orbita Control	7 / 10	2017	Smallsat	Earth observation, Hyperspectral	Yes	Constellation of different video and hyperspectral satellites.	
Canon	1 / 100	2017	Microsat	Earth observation	?	8K low-light real-time video and streaming using laser terminal.	
Aireon	65 / 75	2017	Hosted	ADS-B	$50 million	Hosted payload on Iridum-NEXT satellites for global air traffic surveillance.	
Helios Wire	1 / 30	2017	6U, 16U	IoT / M2M	$1 million	Uses 30 MHz of S-band spectrum to receive tiny data packages from billions of sensors. First payloads hosted on Astro Digital Corvus/Landmapper CubeSats.	
Swarm Technologies	4 / ?	2018	0.25U, 1U	IoT / M2M	?	World's smallest two-way communication satellites.	
Kepler Communications	1 / 140	2018	3U, 6U, ?	IoT / M2M, Internet	$21 million	Monthly fee based on the data amount. Hope to achieve rates of 1-40 Mbps. Clyde Space will provide at least the first 2 sats.	
ICEYE	1 / 18	2018	Microsat	SAR	$53+ million	21 launch agreement with Vector Space Systems. 10 platform agreement with York Space Systems.	
SpaceX	2 / 4425	2018	Smallsat	Internet	$1.6 billion	400 kg satellites according to FCC filing. First technology demonstration missions planned to fly in 2017.	
Orbital Sidekick	1 / ?	2018	?	Earth observation, Hyperspectral	$4.7 million	First sensor on ISS. Constellation coming in 2020.	
Analytical Space	1 / ?	2018	6U	IoT / M2M, Orbital data relay, Optical comms	$4 million	In-orbit relays receiving radio and downlink to ground with laser communication enabling more data downlink from satellites.	
PlanetiQ	0 / 18	2018	6U	Weather	$5+ million	Based on GPS radio occultation. Will have microwave spectrometer & radiometer. Blue Canyon Tech builds satellites.	
Hiber (Magnitude Space)	0 / 48	2018	6U	IoT / M2M	$6.2 million	Send small packets of data (140 characters, accompanied by time?stamp, identifier and location).	
Fleet Space	0 / 100	2018	3U, 12U	IoT / M2M	$3.7 million	Selected Saber Astronautics as the operations provider. Launches planned to be started in 2017.	
Astrocast (ELSE)	0 / 64	2018	3U	IoT / M2M	$7.1 million	Demonstration mission in 2018. Targeting L-band. Inter-satellite links. NanoSpace propulsion.	
Blink Astro	0 / ?	2018	3U	IoT / M2M	?	Blink Astro and NanoAvionics have signed an agreement to fly a tech demo payload to LEO in fall 2018.	
AISTech	0 / 100	2018	2U, 6U	IoT / M2M, ADS-B, AIS, IR imaging	$0.31 million	2-way comms, thermal imaging to detect forest fires, aviation tracking (ADS-B). Satellites will be built by GomSpace.	
HawkEye360	0 / 30	2018	Microsat	RF spectrum monitoring	$26 million	Radio frequency (RF) mapping with 15 kg sats to help monitor transportation across air, land, sea and assist in emergencies. Built by GomSpace.	
Axelspace	0 / 50	2018	Microsat	Earth observation	$16 million	Weighs < 95 kg and captures images with a 2.5-meter resolution over a 57-kilometer area.	
Capella Space	0 / 40	2018	Microsat	SAR	$34 million	Resolutions from 1 m (1600 km2) to 30 m (27,000 km2). Every 3-6 hours globally and 45 min in equatorial regions, improving to every hour in 3-5 years.	
OneWeb	0 / 648	2018	Smallsat	Internet	$1.7 billion	Joint venture with Airbus to build the constellation of 125 kg satellites.	
Karten Space	0 / 14	2018	6U	Earth observation, AIS	?	Optical resolution is 3-5 m.	
