Organization	Launcher	Founded	Status	First launch	Launches	Cost	Performance	Launch type	Funding	Country	Image
Orbital ATK	Pegasus	1982	Operational	1990	43	$56M	443 kg	Plane	-	US	
SpaceX	Falcon 1e	2013	Retired	2008	5	$11M	1000 kg	Land	-	US	
CASIC / Exspace	Fei Tian 1 / Kuaizhou-1A	1999	Operational	2017	2	-	300 kg	Land	Yes	China	
Rocket Lab	Electron	2006	Operational	2018	2	$4.9M	150 kg	Land	Yes	US/New Zealand	
JAXA	SS-520-4	1969	Operational	2018	1	-	4 kg	Land	Yes	Japan	
LandSpace	Zhuque-1 (ZQ-1)	2015	Operational	2018	1	-	300 kg	Land	-	China	
Virgin Galactic	LauncherOne	2004	In development	2018	0	$10M	200 kg	Plane	Yes	US	
Vector Space	Vector-R	2016	In development	2018	0	$1.5M	50 kg	Land	$103M	US	
Zero 2 Infinity	Bloostar	2009	In development	2018	0	$4.0M	75 kg	Balloon	Yes	Spain	
bspace	Volant	2016	In development	2018	0	-	215 kg	Balloon	-	US	
CloudIX (Nine)	-	2016	In development	2018	0	-	22 kg	Balloon	-	US	
Astra Space	Astra	2016	In development	2018	0	-	100 kg	Land	-	US	
CTA	VLM	1953	In development	2018	0	-	150 kg	Land	-	Brazil	
One Space	OS-M1	2015	In development	2018	0	$0.1M	112 kg	Land	$116M	China	
Vector Space	Vector-H	2016	In development	2019	0	$3.0M	105 kg	Land	$103M	US	
i-Space	Hyperbola-1 (Shian Quxian)	2017	In development	2019	0	-	-	Land	-	China	
Aevum	Ravn	2016	In development	2019	0	-	-	Plane	Seed	US	
Rocketcrafters	Intrepid-1	2010	In development	2019	0	$5.4M	376 kg	Land	-	US	
CONAE	Tronador II	1991	In development	2019	0	-	250 kg	Land	-	Argentina	
Firefly	Alpha (a)	2014	In development	2019	0	$9.0M?	1000 kg	Land	$21.8M+	US	
ISRO	PSLV Light?	1969	In development	2019	0	-	700 kg	Land	-	India	
RocketStar	StarLord	2015	In development	2019	0	-	300 kg	Sea	-	US	
SpaceOps	Rocky 1	2016	In development	2019	0	$0.1M	5 kg	Land	-	Australia	
Equatorial Space Industries	Volans	2017	In development	2019	0	$1M	50 kg	Land	-	Singapore	
Link Space	New Line 1	2014	In development	2020	0	$4.5M	200 kg	Land	-	China	
Cubecab	Cab-3A	2014	In development	2020	0	$0.25M	5 kg	Plane	-	US	
Nammo	North Star	1998	In development	2020	0	-	20 kg	Land	-	Norway	
Gilmour Space	Eris	2012	In development	2020	0	-	380 kg	Land	$17M	Singapore	
Open Space	Neutrino 1	2014	In development	2020	0	-	-	Land	-	Canada	
abl space systems	RS1	2017	In development	2020	0	-	650 kg	Land	-	US	
Relativity Space	Terran 1	2016	In development	2020	0	$10M	1250 kg	Land	$45.1M	US	
Reaction Dynamics	-	2017	In development	2020	0	-	150 kg	Land	$0.2M	Canada	
bluShift Aerospace	Red Dwarf	2015	In development	2020	0	-	-	-	-	US	
Thor Launch Systems	-	-	In development	2020	0	-	-	-	-	US	
UP Aerospace	Spyder	1998	In development	2021	0	$1M	10 kg	Land	-	US	
PLD Space	Arion 2	2011	In development	2021	0	-	150 kg	Land	$1.3M+	Spain	
Interstellar Technologies	Zero	2003	In development	2021	0	-	100 kg	Land	-	Japan	
Aphelion Orbitals	Helios / Feynman	2015	In development	2021	0	$0.55M	14 kg	Land	$0.5M	US	
Avio	Vega Light	1908	In development	2021	0	-	250 kg	Land	-	Italy	
Masterra Space	Equinox	1984	In development	2021	0	$1M	20 kg	Land	-	UK	
Space One (Canon, IHI)	-	2017	In development	2021	0	-	100 kg	Land	-	Japan	
SpinLaunch	-	2014	In development	2022	0	-	-	Catapult	$50M	US	
Orbital Access	Orbital 500	2015	In development	2023	0	-	500 kg	Plane	-	UK	
Smallspark Space Systems	Frost 1	2018	In development	2023	0	-	100 kg	-	-	UK	
Independence-X	DNLV	1972	In development	2023	0	$4.5M	200 kg	Land	-	Malaysia	
Roketsan	UFS	-	In development	2023	0	-	-	-	-	Turkey	
Bagaveev Corporation	Bagaveev	2013	In development	-	0	-	10 kg	Land	$0.67M	US	
